Ten_Truyen,Tac_Gia,The_Loai,Tinh_Trang,Luot_Xem,Luot_Sao,Luot_Binh_Luan,Luot_Cam_On,Link
Thực cốt nguy tình,Kỳ Lão Du,"Nguyên sang , Ngôn tình , Hiện đại , OE , Tình cảm , Hào môn thế gia , Cẩu huyết , Ngược văn , Đô thị tình duyên",Hoàn thành,1060789,53,41,30,https://wikicv.net/truyen/thuc-cot-nguy-tinh-WfYH7e8h7CVKejQZ
Xuyên nhanh: Hôm nay lại thu hoạch bàn tay vàng / Mỗi lần đều là phi nhân loại,Vụ Thỉ Dực,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , Tương lai , HE , Tình cảm , Tiên hiệp , Kinh dị , Khoa học viễn tưởng , Mạt thế , Huyền huyễn , Báo thù , Dị thế , Tu chân , Ngọt văn , Song khiết 🕊️ , Xuyên nhanh , Tinh tế , Cường cường , Sảng văn , Kiếp trước kiếp này , Tây huyễn , Nữ cường , Ngược tra , Linh dị thần quái , Nghịch tập , 1v1 , Thị giác nữ chủ , Vô địch lưu",Hoàn thành,1059651,14891,282,5206,https://wikicv.net/truyen/xuyen-nhanh-hom-nay-lai-thu-hoach-ban-ta-YcHuW1S4CHp1ptRe
Hạ thiếu lóe hôn ấm thê,Tần Hiệt,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Hào môn thế gia",Hoàn thành,1058564,88,14,60,https://wikicv.net/truyen/ha-thieu-loe-hon-am-the-Wzjike8h7F4M_Txm
"Buổi sáng hủy ta đan điền, buổi chiều ở ngươi trước mộ hoá vàng mã/Toàn tông đều là liếm cẩu, tiểu sư muội là thật cẩu",Chấp Thủ Yên Hỏa,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Tu chân , Xuyên thư",Chưa xác minh,1055426,15313,283,3013,https://wikicv.net/truyen/buoi-sang-huy-ta-dan-dien-buoi-chieu-o-n-ZLZafVS4CGqExITJ
Gả cho cha của nam chính,Cửu Nguyệt Vi Lam,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Xuyên thư , Nữ phụ , Trạch đấu , Sảng văn , Nhẹ nhàng , Kim bài đề cử 🥇 , Vả mặt , 1v1 , Thị giác nữ chủ",Hoàn thành,1054290,3277,158,778,https://wikicv.net/truyen/ga-cho-cha-cua-nam-chinh-W1E%7Eb%7E8h7AWhYAZc
Hôm nay cũng không biến thành thú bông đâu,Hoa Hoa Liễu,"Nguyên sang , Ngôn tình , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Mạt thế , Ngọt văn , Hệ thống , Vô hạn lưu , Trò chơi , 1v1",Hoàn thành,1050679,18939,562,2378,https://wikicv.net/truyen/hom-nay-cung-khong-bien-thanh-thu-bong-d-XWLIplS4CGmrFV9M
Xuyên thành thanh niên trí thức nữ phụ,Cửu Châu Đại Nhân,"Nguyên sang , Ngôn tình , Cận đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Tùy thân không gian , Xuyên thư , Nữ phụ , Kim bài đề cử 🥇",Hoàn thành,1048326,1749,111,361,https://wikicv.net/truyen/xuyen-thanh-thanh-nien-tri-thuc-nu-phu-W5GfA1S4CCoaUFdL
Lâm tân ngôn tông cảnh hạo,Chiêu Tài Tiến Bảo,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Hào môn thế gia , Đô thị tình duyên , 1v1 , Thị giác nữ chủ",Chưa xác minh,1045533,79,12,66,https://wikicv.net/truyen/lam-tan-ngon-tong-canh-hao-XkScA1S4CFFAUoO4
"Quân hôn mật sủng: Lão công, kịch bản thâm",An Noãn Noãn,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Làm giàu , Hào môn thế gia , Cưới trước yêu sau , Đô thị tình duyên",Hoàn thành,1045103,107,9,85,https://wikicv.net/truyen/quan-hon-mat-sung-lao-cong-kich-ban-tham-WZu8e%7E8h7H%7EduldI
"Mau xuyên: Tà tính BOSS, hư thấu!",Y Nhân Vi Hoa,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Huyền huyễn , Võng du , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên nhanh , 1v1",Hoàn thành,1045066,4003,60,335,https://wikicv.net/truyen/mau-xuyen-ta-tinh-boss-hu-thau-WrPSKO8h7DB7nlem
Đích trưởng nữ nàng lại mỹ lại táp,Thiên Hoa Tẫn Lạc,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tranh bá , Quan trường , Báo thù , Trọng sinh , Làm giàu , Hào môn thế gia , Cung đấu , Trạch đấu , Quân văn , Cung đình hầu tước , Sảng văn , Nhẹ nhàng , Kiếp trước kiếp này , Nữ cường , Nghịch tập , Thị giác nữ chủ , Đế vương",Hoàn thành,1043446,3831,100,428,https://wikicv.net/truyen/dich-truong-nu-nang-lai-my-lai-tap-XzD2rFS4CC9Pch3b
Kiều mềm mỹ nhân ở 60,Tiểu Cầm Bảo,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên thư , Mỹ thực , Nhẹ nhàng , Ấm áp , Duyên trời tác hợp , Kim bài đề cử 🥇 , Kim Bảng 🏆 , 1v1 , Thị giác nữ chủ , Xuyên thành vai chính , Niên đại văn",Hoàn thành,1040518,3138,52,683,https://wikicv.net/truyen/kieu-mem-my-nhan-o-60-YRFJblS4CBUKCOaj
Nam chủ hắn công đức vô lượng,Nguyệt Chiếu Khê,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Huyền học , Ngọt văn , Phong thủy , Sảng văn , Duyên trời tác hợp , Kim bài đề cử 🥇 , Linh dị thần quái , 1v1 , Thị giác nữ chủ",Hoàn thành,1040338,5453,279,1857,https://wikicv.net/truyen/nam-chu-han-cong-duc-vo-luong-WvZNI%7E8h7DzvcR%7E9
Sử thượng đệ nhất sủng hôn: Mộ thiếu kiều thê,Bắc Xuyên Vân Thượng Cẩm,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Ngược văn",Hoàn thành,1038427,27,3,21,https://wikicv.net/truyen/su-thuong-de-nhat-sung-hon-mo-thieu-kieu-WR8OE%7E8h7AeFbrVF
"Vương bài ấm hôn: Tư thiếu, làm càn sủng!",Sướng Nhiên,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Hào môn thế gia , Quân văn , Thiên chi kiêu tử , Nữ cường , 1v1",Hoàn thành,1037805,691,3,163,https://wikicv.net/truyen/vuong-bai-am-hon-tu-thieu-lam-can-sung-WzIDMu8h7FrZJjtx
Ta có một tòa đạo quan,Tiểu Thời Nhĩ Cá Tra Tra,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Huyền huyễn , Huyền học , Trọng sinh , Thần tiên yêu quái , Cường cường , Sảng văn , Kiếp trước kiếp này , Kim bài đề cử 🥇 , Nữ cường , Linh dị thần quái , 1v1 , Thị giác nữ chủ , Bình dân sinh hoạt",Hoàn thành,1032115,11080,431,2957,https://wikicv.net/truyen/ta-co-mot-toa-dao-quan-XdNbjFS4CAk9coyE
"Đừng khuyên ta, ta chỉ nghĩ trồng trọt [ 70 ]",Quan Oánh Oánh,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Xuyên thư , Sảng văn , Thị giác nữ chủ , Thật giả thiên kim , Niên đại văn",Hoàn thành,1031219,3689,99,929,https://wikicv.net/truyen/dung-khuyen-ta-ta-chi-nghi-trong-trot-70-YLBzI1S4CGmR1qX1
Xuyên nhanh: Mỹ nhân có độc,Duy Khách,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , Tương lai , HE , Tình cảm , Tiên hiệp , Khoa học viễn tưởng , Báo thù , Tu chân , Xuyên nhanh , Hào môn thế gia , Cẩu huyết , Giới giải trí , Vườn trường , Cung đình hầu tước , Nhẹ nhàng , Hài hước , Đô thị tình duyên , Ấm áp , Kim bài đề cử 🥇 , Ngân bài đề cử 🥈 , Kim Bảng 🏆 , Nữ cường , Ngược tra , 1v1 , Thị giác nữ chủ , Phi song khiết 🌂",Hoàn thành,1030197,8832,533,3296,https://wikicv.net/truyen/xuyen-nhanh-my-nhan-co-doc-Wl4GJO8h7Fs2OOiB
Gả cho anh trai người thực vật của nam chính,Điềm Tức Chính Nghĩa,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Xuyên thư , Hào môn thế gia , Nữ phụ , Giới giải trí , Hoan hỉ oan gia , Nhẹ nhàng , Hài hước , Đô thị tình duyên , 1v1 , Thị giác nữ chủ",Hoàn thành,1029023,2834,140,1149,https://wikicv.net/truyen/ga-cho-anh-trai-nguoi-thuc-vat-cua-nam-c-XFw3BlS4CHoByk76
Trang chủ có độc chi thần y tiên thê,Thủy Thiên Triệt,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Báo thù , Dị thế , Tu chân , Xuyên việt , Ngọt văn , Trọng sinh , Thần tiên yêu quái , Song khiết 🕊️ , Tùy thân không gian , Sinh con , Hào môn thế gia , Cường cường , Y thuật , Sảng văn , Nhẹ nhàng , Hài hước , Ấm áp , Duyên trời tác hợp , Thế giới song song , Nữ cường , Ngược tra , Nghịch tập , Vả mặt , 1v1 , Giả heo ăn hổ",Hoàn thành,1028900,740,43,130,https://wikicv.net/truyen/trang-chu-co-doc-chi-than-y-tien-the-WkYRIu8h7B7FSuyX
Xuyên thành mẹ kế của năm cái vai ác,Mạch Vu Chi,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Xuyên thư , Mỹ thực , Làm giàu , Trạch đấu , Cung đình hầu tước , Xuyên thành vai ác , Nữ cường , 1v1 , Thị giác nữ chủ , Dưỡng oa",Hoàn thành,1027066,1169,28,259,https://wikicv.net/truyen/xuyen-thanh-me-ke-cua-nam-cai-vai-ac-YCpZOVS4CDRm1opj
Kiêu sủng y phi,Niêm Hoa Nhạ Tiếu,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Y thuật",Hoàn thành,1026786,10,17,6,https://wikicv.net/truyen/kieu-sung-y-phi-WUNoPO8h7EuDZs2B
Mau xuyên nữ chủ: Cấm dục nam thần liêu không ngừng!,Du Chi Yếp Thiển,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Khoa học viễn tưởng , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên nhanh , Duyên trời tác hợp , Ngược tra",Hoàn thành,1026090,1401,58,1037,https://wikicv.net/truyen/mau-xuyen-nu-chu-cam-duc-nam-than-lieu-k-WRNiqu8h7GVYjJvG
"Mạt thế trọng sinh: Quân trưởng đại nhân, không được nhúc nhích!",Hội Phi Đích Mao Cầu,"Nguyên sang , Ngôn tình , Hiện đại , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Mạt thế , Báo thù , Dị năng , Trọng sinh , Hào môn thế gia , Cẩu huyết , Trạch đấu , Thăng cấp lưu , Kiếp trước kiếp này , Nữ cường , Ngược tra , Vả mặt , 1v1 , Thị giác nữ chủ",Hoàn thành,1024176,647,21,35,https://wikicv.net/truyen/mat-the-trong-sinh-quan-truong-dai-nhan--WRryP%7E8h7G9DZpL_
Trọng sinh 1988: Thành thiếu đầu quả tim sủng,Cao Sơn Nhật Sơ,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Huyền huyễn , Báo thù , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Tùy thân không gian , Làm giàu , Hào môn thế gia , Cường cường , Đô thị tình duyên , Duyên trời tác hợp , Ngược tra",Tạm ngưng,1023885,380,11,16,https://wikicv.net/truyen/trong-sinh-1988-thanh-thieu-dau-qua-tim--WdJUQ%7E8h7GDFDrfK
Cổ đại nông gia sinh hoạt,Lão Nạp Bất Đổng Ái,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Quan trường , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Trạch đấu , Bình bộ thanh vân , Duyên trời tác hợp , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Ngược tra , 1v1 , Thị giác nam chủ , Bình dân sinh hoạt",Hoàn thành,1022907,1988,93,521,https://wikicv.net/truyen/co-dai-nong-gia-sinh-hoat-WfXtwO8h7CVKejKl
Xuyên thư: Cá mặn tu tiên siêu vui sướng,Trạch Lan,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tiên hiệp , Làm ruộng , Huyền huyễn , Tu chân , Xuyên thư , Nhẹ nhàng , Pháo hôi , Người qua đường , Kim bài đề cử 🥇 , Linh dị thần quái , Thị giác nữ chủ",Hoàn thành,1021149,5969,152,1868,https://wikicv.net/truyen/xuyen-thu-ca-man-tu-tien-sieu-vui-suong-YqrGl1S4CHFNRtt_
Xuyên đến đại lão hắc hóa trước,Cẩm Chanh,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Xuyên thư , Vườn trường , Cải trang giả dạng , Xuyên thành vai ác , Kim bài đề cử 🥇 , Thị giác nữ chủ",Hoàn thành,1020815,6965,477,2331,https://wikicv.net/truyen/xuyen-den-dai-lao-hac-hoa-truoc-XHEevlS4CGQC75C%7E
Thanh cung Hi phi truyện,Giải Ngữ,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Đại Thanh",Hoàn thành,1017900,34,6,20,https://wikicv.net/truyen/thanh-cung-hi-phi-truyen-WPwyD%7E8h7EEkFe7s
Xuyên thành niên đại văn cực phẩm nữ xứng,Quan Oánh Oánh,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Xuyên thư , Nữ phụ , Sảng văn , Kim bài đề cử 🥇 , 1v1 , Thị giác nữ chủ",Hoàn thành,1017776,2527,71,799,https://wikicv.net/truyen/xuyen-thanh-nien-dai-van-cuc-pham-nu-xun-X9a2pFS4CG84rRGF
Nữ chủ đều cùng nam nhị HE,Phù Hoa,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Võ hiệp , Tiên hiệp , Khoa học viễn tưởng , Huyền huyễn , Tu chân , Ngọt văn , Thần tiên yêu quái , Xuyên thư , Hào môn thế gia , Giới giải trí , Vườn trường , Cung đình hầu tước , Nhẹ nhàng , Hắc ám , Nhiều CP , Đô thị tình duyên , Cải trang giả dạng , Ấm áp , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Linh dị thần quái , 1v1 , Thị giác nữ chủ , Nam phụ",Hoàn thành,1016673,11763,942,4786,https://wikicv.net/truyen/nu-chu-deu-cung-nam-nhi-he-W89SW1S4CEorzglX
Thế gia,Lục Nguyệt Hạo Tuyết,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Báo thù , Trọng sinh , Hào môn thế gia , Trạch đấu , Cung đình hầu tước , Sảng văn , Thị giác nữ chủ",Hoàn thành,1013649,580,46,406,https://wikicv.net/truyen/the-gia-WIC9nzu26xUGPBiw
Thập niên 70 bạch phú mỹ,Tố Muội Bình Sinh v,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Làm ruộng , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Mỹ thực , Làm giàu , Kiếp trước kiếp này , Kim bài đề cử 🥇 , 1v1 , Niên đại văn",Hoàn thành,1012357,2042,102,758,https://wikicv.net/truyen/thap-nien-70-bach-phu-my-WuX3KO8h7FytCGpg
Bị pháo hôi thiên mệnh chi nữ [ Xuyên nhanh ],Mỹ Nhân Ngưu Bái Phạn,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , OE , Tình cảm , Mạt thế , Huyền huyễn , Báo thù , Dị năng , Hệ thống , Thần tiên yêu quái , Xuyên nhanh , Hào môn thế gia , Nữ phụ , Trạch đấu , Giới giải trí , Sảng văn , Pháo hôi , Kim bài đề cử 🥇 , Ngược tra , Vả mặt , Thị giác nữ chủ",Hoàn thành,1012191,4210,166,1297,https://wikicv.net/truyen/bi-phao-hoi-thien-menh-chi-nu-xuyen-nhan-XKnZylS4CFbxhaFC
Mạt thế nữ xứng ngọt sủng hằng ngày [ xuyên thư ],Dữu Trà Thất,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Mạt thế , Dị năng , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Tùy thân không gian , Xuyên thư , Sảng văn , Kim Bảng 🏆 , 1v1 , Thị giác nữ chủ , Huynh muội",Hoàn thành,1011954,2966,92,658,https://wikicv.net/truyen/mat-the-nu-xung-ngot-sung-hang-ngay-xuye-XKgSxFS4CEcFyocW
"Đệ nhất bói toán sư: Hoàng Thượng, cầu hưu chiến",Trầm Bắc,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Huyền huyễn , Huyền học , Báo thù , Dị thế , Xuyên việt , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Cung đấu , Trạch đấu , Cung đình hầu tước , Nữ cường , Ngược tra",Hoàn thành,1011913,1078,42,216,https://wikicv.net/truyen/de-nhat-boi-toan-su-hoang-thuong-cau-huu-WX8uJ%7E8h7A90cdxY
Thật thiên kim ở tinh tế phóng ngưu,Nam Phong Bắc Ký,"Nguyên sang , Ngôn tình , Tương lai , HE , Tình cảm , Làm ruộng , Dị năng , Tinh tế , Hào môn thế gia , Vườn trường , Sảng văn , Nhẹ nhàng , Đô thị tình duyên , Nữ cường , Mary Sue , Thị giác nữ chủ , Thật giả thiên kim",Hoàn thành,1009754,10444,679,3928,https://wikicv.net/truyen/that-thien-kim-o-tinh-te-phong-nguu-Yot4XlS4CE_aIF6c
Nữ phụ tu tiên ký chi nhất lộ đăng tiên,Thanh U Trúc Lâm,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tiên hiệp , Huyền huyễn , Tu chân , Xuyên thư , Nữ phụ , Thăng cấp lưu , Phản phái xuyên việt , Pháo hôi , Phản phái trọng sinh , Lôi",Hoàn thành,1009459,3771,90,510,https://wikicv.net/truyen/nu-phu-tu-tien-ky-chi-nhat-lo-dang-tien-X29calS4CFJDaA7x
Mau xuyên hệ thống: Công lược lang tính Boss II,Quân Sanh,"Nguyên sang , Ngôn tình , Cổ đại , Cận đại , Hiện đại , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Mạt thế , Huyền huyễn , Võng du , Báo thù , Dị thế , Tu chân , Dị năng , Ngọt văn , Trọng sinh , Thú nhân , Hệ thống , Thần tiên yêu quái , Song khiết 🕊️ , Xuyên nhanh , Tinh tế , Hào môn thế gia , Cẩu huyết , Cung đấu , Giới giải trí , Vườn trường , Cung đình hầu tước , Sảng văn , Tây huyễn , Cận thủy lâu đài , Pháo hôi , Ngược tra , Linh dị thần quái , Nghịch tập , Vả mặt , 1v1",Hoàn thành,1007992,2272,34,577,https://wikicv.net/truyen/mau-xuyen-he-thong-cong-luoc-lang-tinh-b-WfqhpO8h7GwjkJr1
Nông gia người đàn bà đanh đá xảo làm ruộng / Nông gia mẹ kế xảo làm ruộng,Trà Noãn,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Mỹ thực , Làm giàu , Hào môn thế gia , Cung đình hầu tước , Nhẹ nhàng , Ấm áp , 1v1 , Thị giác nữ chủ , Dưỡng oa",Hoàn thành,1007026,1681,17,102,https://wikicv.net/truyen/nong-gia-nguoi-dan-ba-danh-da-xao-lam-ru-YUu1eFS4CH9Ev3iu
,Nguyên Nguyệt Nguyệt Bán,,Đang cập nhật,0,0,0,0,https://wikicv.net/truyen/me-ke-xuyen-viet-WyvJHe8h7Hn52fe3
Tất cả mọi người đều biết ta là hảo nam nhân [Xuyên nhanh],Đường Trung Miêu,"Nguyên sang , Ngôn tình , Hiện đại , OE , Tình cảm , Xuyên việt , Xuyên nhanh , Thị giác nam chủ",Hoàn thành,1005345,8022,415,3257,https://wikicv.net/truyen/tat-ca-moi-nguoi-deu-biet-ta-la-hao-nam--XdX78VS4CDgClNl6
60 chi Đông Bắc tới cái đại mỹ nhân,Cát Kim Kim,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Ngọt văn , Trọng sinh , Tùy thân không gian , Cưới trước yêu sau , Sảng văn , 1v1 , Thị giác nữ chủ , Dưỡng oa , Niên đại văn",Hoàn thành,1003359,2027,35,372,https://wikicv.net/truyen/60-chi-dong-bac-toi-cai-dai-my-nhan-ZkmjhlS4CCJsnGZK
Sủng sủng dục luyến,Điềm Điềm Tây Mễ Lộ,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Sinh con , Hào môn thế gia",Hoàn thành,1002444,31,4,9,https://wikicv.net/truyen/sung-sung-duc-luyen-Ws4Ycu8h7GNIBALJ
Phi y thiên hạ,Lục Nguyệt,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Báo thù , Y thuật , Bình bộ thanh vân , Duyên trời tác hợp , Nữ cường , Nghịch tập , 1v1",Hoàn thành,1001866,10,3,23,https://wikicv.net/truyen/phi-y-thien-ha-WqI70e8h7HqEc9Mi
70 chi xinh đẹp tiểu thợ may,Thư Thư Thư,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Xuyên thư , Cẩu huyết , Sảng văn , Nhẹ nhàng , Kim bài đề cử 🥇 , Kim Bảng 🏆 , 1v1 , Thị giác nữ chủ , Bình dân sinh hoạt , Niên đại văn",Hoàn thành,998106,4890,144,703,https://wikicv.net/truyen/70-chi-xinh-dep-tieu-tho-may-Yip1RVS4CF28pU2Z
Huyền học đại sư không phải người,An Nhiên Nhất Thế,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Huyền huyễn , Xuyên việt , Ngọt văn , Phong thủy , Giới giải trí , Sảng văn , Nhẹ nhàng , Kim bài đề cử 🥇 , Nữ cường , Linh dị thần quái , 1v1 , Thị giác nữ chủ",Hoàn thành,997146,4420,109,728,https://wikicv.net/truyen/huyen-hoc-dai-su-khong-phai-nguoi-W7GAJFS4CAyQ0aYF
